age(kyr) mean(permil) sigma(permil)
37.000000 4.379989 0.111442
37.100000 4.369309 0.111617
37.200000 4.359323 0.111879
37.300000 4.350677 0.112274
37.400000 4.343078 0.112966
37.500000 4.337286 0.113825
37.600000 4.334035 0.114836
37.700000 4.332792 0.116254
37.800000 4.333751 0.118127
37.900000 4.336588 0.120329
38.000000 4.341530 0.122791
38.100000 4.348435 0.125661
38.200000 4.356813 0.128581
38.300000 4.366767 0.131452
38.400000 4.378284 0.133976
38.500000 4.391606 0.135944
38.600000 4.405608 0.137448
38.700000 4.420148 0.138201
38.800000 4.435610 0.137862
38.900000 4.451358 0.136676
39.000000 4.466411 0.134746
39.100000 4.480831 0.132243
39.200000 4.494821 0.129124
39.300000 4.508559 0.125605
39.400000 4.521766 0.122030
39.500000 4.534599 0.118735
39.600000 4.547015 0.115804
39.700000 4.558589 0.113308
39.800000 4.568632 0.111415
39.900000 4.577581 0.110027
40.000000 4.584923 0.109157
40.100000 4.590660 0.108803
40.200000 4.595104 0.108636
40.300000 4.597717 0.108651
40.400000 4.598751 0.108580
40.500000 4.598287 0.108379
40.600000 4.597025 0.108187
40.700000 4.595062 0.107863
40.800000 4.592404 0.107481
40.900000 4.589366 0.107057
41.000000 4.586306 0.106703
41.100000 4.582994 0.106421
41.200000 4.580157 0.106157
41.300000 4.578793 0.106164
41.400000 4.578499 0.106609
41.500000 4.580086 0.107719
41.600000 4.583093 0.109604
41.700000 4.586472 0.111934
41.800000 4.589698 0.114415
41.900000 4.593031 0.116767
42.000000 4.594468 0.118819
42.100000 4.594267 0.120593
42.200000 4.592758 0.122329
42.300000 4.589431 0.123844
42.400000 4.583715 0.125073
42.500000 4.577065 0.126335
42.600000 4.569375 0.127648
42.700000 4.561282 0.128923
42.800000 4.552994 0.130231
42.900000 4.545220 0.131581
43.000000 4.537364 0.132866
43.100000 4.528906 0.134065
43.200000 4.520416 0.135040
43.300000 4.511832 0.135923
43.400000 4.504137 0.136675
43.500000 4.496700 0.137561
43.600000 4.490327 0.138451
43.700000 4.485000 0.139339
43.800000 4.480977 0.140500
43.900000 4.477580 0.141819
44.000000 4.475501 0.143237
44.100000 4.475422 0.144407
44.200000 4.476569 0.145328
44.300000 4.478563 0.146037
44.400000 4.480870 0.146837
44.500000 4.484025 0.147677
44.600000 4.487841 0.148446
44.700000 4.491908 0.149082
44.800000 4.496514 0.149503
44.900000 4.501069 0.149557
45.000000 4.505198 0.149482
45.100000 4.508792 0.149327
45.200000 4.511382 0.148832
45.300000 4.512904 0.148191
45.400000 4.513812 0.147440
45.500000 4.514427 0.146594
45.600000 4.513795 0.145705
45.700000 4.512442 0.144740
45.800000 4.509861 0.143548
45.900000 4.506462 0.142565
46.000000 4.501746 0.141726
46.100000 4.495944 0.140945
46.200000 4.489699 0.140343
46.300000 4.483424 0.140099
46.400000 4.477147 0.140081
46.500000 4.470579 0.140255
46.600000 4.464072 0.140608
46.700000 4.457797 0.141310
46.800000 4.451867 0.142257
46.900000 4.445754 0.143390
47.000000 4.439934 0.144902
47.100000 4.434275 0.146808
47.200000 4.428502 0.149164
47.300000 4.422901 0.151968
47.400000 4.417969 0.155076
47.500000 4.413690 0.158333
47.600000 4.409885 0.161634
47.700000 4.406786 0.164676
47.800000 4.404413 0.167369
47.900000 4.403350 0.169466
48.000000 4.403680 0.171081
48.100000 4.405732 0.172099
48.200000 4.408988 0.172493
48.300000 4.413645 0.172106
48.400000 4.418598 0.171194
48.500000 4.424300 0.169855
48.600000 4.430762 0.168170
48.700000 4.437584 0.166246
48.800000 4.444584 0.164080
48.900000 4.451765 0.161615
49.000000 4.458539 0.159195
49.100000 4.464703 0.156855
49.200000 4.470333 0.154490
49.300000 4.475254 0.152080
49.400000 4.479776 0.149770
49.500000 4.483854 0.147721
49.600000 4.487482 0.145962
49.700000 4.490833 0.144404
49.800000 4.493567 0.143099
49.900000 4.495748 0.141879
50.000000 4.497500 0.140672
50.100000 4.498755 0.139530
50.200000 4.499683 0.138360
50.300000 4.500745 0.137310
50.400000 4.501353 0.136302
50.500000 4.501182 0.135507
50.600000 4.500077 0.135083
50.700000 4.498075 0.134950
50.800000 4.494890 0.135137
50.900000 4.491038 0.135468
51.000000 4.486409 0.135861
51.100000 4.481259 0.136299
51.200000 4.476028 0.136619
51.300000 4.470434 0.136895
51.400000 4.464384 0.136996
51.500000 4.458165 0.136956
51.600000 4.452140 0.136807
51.700000 4.446055 0.136566
51.800000 4.439748 0.136318
51.900000 4.433862 0.136022
52.000000 4.428515 0.135526
52.100000 4.423205 0.135012
52.200000 4.417985 0.134349
52.300000 4.413350 0.133636
52.400000 4.408804 0.132860
52.500000 4.404579 0.132122
52.600000 4.400832 0.131428
52.700000 4.397098 0.130765
52.800000 4.393498 0.130207
52.900000 4.390012 0.129831
