age(kyr) mean(permil) sigma(permil)
44.000000 4.391498 0.098741
44.100000 4.390987 0.098658
44.200000 4.390162 0.098515
44.300000 4.389203 0.098359
44.400000 4.388256 0.098321
44.500000 4.386927 0.098386
44.600000 4.385360 0.098527
44.700000 4.383963 0.098710
44.800000 4.382790 0.099107
44.900000 4.382193 0.099614
45.000000 4.381899 0.100243
45.100000 4.381804 0.100739
45.200000 4.381686 0.101148
45.300000 4.381066 0.101671
45.400000 4.379962 0.102198
45.500000 4.378779 0.102615
45.600000 4.377422 0.103023
45.700000 4.375988 0.103423
45.800000 4.374554 0.103689
45.900000 4.373044 0.103956
46.000000 4.371377 0.104323
46.100000 4.369674 0.104613
46.200000 4.367540 0.104821
46.300000 4.365322 0.104869
46.400000 4.362843 0.104912
46.500000 4.360254 0.105076
46.600000 4.357607 0.105251
46.700000 4.354855 0.105497
46.800000 4.352113 0.105969
46.900000 4.348758 0.106558
47.000000 4.345287 0.107163
47.100000 4.341606 0.107881
47.200000 4.338066 0.108496
47.300000 4.334552 0.108838
47.400000 4.331386 0.109047
47.500000 4.328109 0.109398
47.600000 4.324980 0.109799
47.700000 4.322056 0.110260
47.800000 4.318926 0.110884
47.900000 4.316124 0.111376
48.000000 4.313711 0.111681
48.100000 4.311626 0.111848
48.200000 4.309617 0.111975
48.300000 4.307680 0.112145
48.400000 4.305910 0.112337
48.500000 4.304473 0.112396
48.600000 4.303126 0.112333
48.700000 4.302015 0.112195
48.800000 4.301579 0.112048
48.900000 4.301256 0.111891
49.000000 4.300696 0.111716
49.100000 4.300155 0.111515
49.200000 4.299715 0.111272
49.300000 4.298872 0.111119
49.400000 4.298142 0.110981
49.500000 4.297544 0.110884
49.600000 4.296980 0.110784
49.700000 4.296294 0.110775
49.800000 4.295815 0.110754
49.900000 4.294914 0.110779
50.000000 4.294023 0.110879
50.100000 4.293222 0.110942
50.200000 4.292342 0.110959
50.300000 4.291626 0.111045
50.400000 4.291259 0.111089
50.500000 4.291175 0.111139
